Group Ind PopID P1 P2 P3 P4 P5 P6 P7
Cusickiana_Boise Ck1 SRP 0.0352 0.0001 0 0.0085 0.0008 0.9548 0.0007
Cusickiana_Boise Ck2 SRP 0.0378 0.006 0.0002 0.0142 0.0013 0.9252 0.0154
Cusickiana_Boise Ck3 SRP 0.0347 0 0 0.0084 0 0.956 0.0009
Cusickiana_Boise Ck4 SRP 0.0378 0.0001 0 0.01 0.0013 0.9449 0.0059
Cusickiana_Boise Ck7 SRP 0.0396 0 0 0.0094 0.0002 0.9506 0
Cusickiana_Bear Ck10 SRP 0.0442 0.0056 0.0009 0.0109 0 0.9327 0.0057
Cusickiana_Bear Ck11 SRP 0.0454 0.006 0 0.0116 0 0.9337 0.0033
Cusickiana_Bear Ck12 SRP 0.0473 0.0002 0 0.0118 0.0018 0.9369 0.002
Cusickiana_Bear Ck17 SRP 0.0464 0.0008 0 0.0116 0 0.9377 0.0036
Cusickiana_Bear Ck20 SRP 0.0467 0.0005 0 0.0147 0.0004 0.9248 0.0129
Cusickiana_Bear Ck21 SRP 0.0468 0 0 0.0117 0.0037 0.9342 0.0037
Cusickiana_Bear Ck22 SRP 0.046 0 0 0.0115 0 0.9371 0.0055
Cusickiana_Bear Ck23 SRP 0.0464 0.0003 0 0.0113 0.0005 0.9401 0.0014
Cusickiana_Camas Ck26 SRP 0.0017 0.0006 0 0.0016 0 0.9884 0.0077
Cusickiana_Camas Ck29 SRP 0.0003 0 0 0.0006 0 0.9967 0.0024
Cusickiana_Camas Ck32 SRP 0.0003 0 0 0.0003 0 0.998 0.0015
Cusickiana_Camas Ck34 SRP 0.0005 0.0001 0.0001 0.0004 0 0.9969 0.002
Cusickiana_Camas Ck35 SRP 0 0 0 0 0 1 0
Cusickiana_Camas Ck36 SRP 0.0001 0 0 0 0 0.9998 0
Cusickiana_CRMO Ck49 SRP 0.0006 0 0 0.0001 0 0.999 0.0003
Cusickiana_CRMO Ck50 SRP 0.0002 0 0 0 0 0.9996 0.0002
Cusickiana_CRMO Ck51 SRP 0.0004 0.0009 0 0.0007 0.0001 0.9949 0.0031
Cusickiana_CRMO Ck54 SRP 0 0 0 0 0 0.9999 0
Cusickiana_CRMO Ck56 SRP 0 0 0 0.0001 0.0005 0.999 0.0003
Cusickiana_Jarbidge Ck80 JAR 0 0.999 0 0 0.001 0 0
