PopName,longitude,latitude
BOI,-116.1878,43.68444
BEAR,-116.68007,44.9812
BEAR,-116.68007,44.9812
BEAR,-116.68007,44.9812
BEAR,-116.68007,44.9812
BOI,-116.1878,43.68444
BEAR,-116.68007,44.9812
BEAR,-116.68007,44.9812
BEAR,-116.68007,44.9812
BEAR,-116.68007,44.9812
K10,-115.09116,43.31077
K10,-115.09116,43.31077
BOI,-116.1878,43.68444
K10,-115.09116,43.31077
K10,-115.09116,43.31077
K10,-115.09116,43.31077
K10,-115.09116,43.31077
BOI,-116.1878,43.68444
CRMO,-113.62627,43.407805
CRMO,-113.62627,43.407805
CRMO,-113.62627,43.407805
CRMO,-113.62627,43.407805
CRMO,-113.62627,43.407805
BOI,-116.1878,43.68444
JAR,-115.315975,41.958458
JAR,-115.315975,41.958458
JAR,-115.315975,41.958458
JAR,-115.315975,41.958458
JAR,-115.315975,41.958458
OWY,-117.61544,42.170012
OWY,-117.61544,42.170012
OWY,-117.61544,42.170012
OWY,-117.61544,42.170012
SC,-113.387922,39.141159
SC,-113.387922,39.141159
SC,-113.387922,39.141159
SC,-113.387922,39.141159
SC,-113.387922,39.141159
NPT,-113.395282,39.134102
NPT,-113.395282,39.134102
NPT,-113.395282,39.134102
NPT,-113.395282,39.134102
NPT,-113.395282,39.134102
NPS,-113.405623,39.142858
NPS,-113.405623,39.142858
NPS,-113.405623,39.142858
NPS,-113.405623,39.142858
NPS,-113.405623,39.142858
SPW,-111.752297,41.745418
SPW,-111.752297,41.745418
SPW,-111.752297,41.745418
SPW,-111.752297,41.745418
SPW,-111.752297,41.745418
GHW,-111.76171,41.742733
GHW,-111.76171,41.742733
GHW,-111.76171,41.742733
RHF,-111.632761,41.777055
RHF,-111.632761,41.777055
RHF,-111.632761,41.777055
RHF,-111.632761,41.777055
RHF,-111.632761,41.777055
WC,-111.642447,41.798317
WC,-111.642447,41.798317
WC,-111.642447,41.798317
WC,-111.642447,41.798317
WC,-111.642447,41.798317
GRBA,-114.308745,38.912268
GRBA,-114.308745,38.912268
GRBA,-114.308745,38.912268
GRBA,-114.308745,38.912268
GRBA,-114.308745,38.912268
TROY,-115.497816,38.321931
TROY,-115.497816,38.321931
TROY,-115.497816,38.321931
TROY,-115.497816,38.321931
LAM,-115.380047,40.592567
LAM,-115.380047,40.592567
LAM,-115.380047,40.592567
LAM,-115.380047,40.592567
LAM,-115.380047,40.592567
HTC,-115.405982,40.610112
HTC,-115.405982,40.610112
