,CaASU0020421,CaUTC00138833,Ck1,Ck10,Ck11,Ck12,Ck17,Ck2,Ck20,Ck21,Ck22,Ck23,Ck26,Ck29,Ck3,Ck32,Ck34,Ck35,Ck36,Ck4,Ck49,Ck50,Ck51,Ck54,Ck54_R,Ck56,Ck7,Ck80,Ck81,Ck83,Ck85,Ck85_R,Ck88,Ck92,Ck94,Ck95,Ck96,Ck98,Dm100,Dm102,Dm104,Dm106,Dm108,Dm110,Dm111,Dm112,Dm112_R,Dm113,Dm114,Dm115,Dm116,Dm117,Dm118,Dm119,Mg37,Mg38,Mg39,Mg40,Mg40_R,Mg41,Mg57,Mg58,Mg59,Mg60,Mg61,Mg64,Mg64_R,Mg67,Mg69,Mg70,Mg72,Mg74,Mg77,Mg79,Nv120,Nv122,Nv123,Nv125,Nv127,Nv130,Nv131,Nv134,Nv134_R,Nv136,Nv138,Pa140,Pa141,Pa143,Pa145,Pa147,Pa147_R,Pa150,Pa152,Pa154,Pa156,Pa158
CaASU0020421,,0.8117913832199547,0.81467661691542292,0.84019769357495877,0.81609195402298851,0.80000000000000004,0.83304347826086955,0.83034482758620687,0.82271944922547335,0.84296296296296291,0.81712062256809337,0.82776801405975398,0.81345177664974622,0.82484472049689439,0.84977908689248893,0.84179104477611943,0.84602649006622521,0.84925690021231426,0.85668789808917201,0.83918128654970758,0.82614379084967315,0.84433962264150941,0.85398230088495575,0.80945558739255019,0.80386329866270434,0.83894582723279654,0.84702549575070818,0.89198312236286925,0.88719512195121952,0.87679324894514765,0.87851851851851848,0.89049429657794676,0.88183279742765275,0.55428571428571427,0.64021164021164023,NA,0.64000000000000001,0.59139784946236562,0.82417582417582413,0.82870928829915558,0.81837606837606836,0.8319526627218935,0.83902012248468938,0.85054945054945053,0.8234442836468886,0.82599355531686358,0.81334723670490094,0.81187010078387456,0.82139446036294173,0.84430379746835438,0.8252212389380531,0.83368421052631581,0.83514986376021794,0.83559577677224739,0.77997799779977994,0.7939590075512406,0.79245283018867929,0.79647749510763211,0.80484988452655892,0.82372143634385198,0.77744209466263847,0.79234972677595628,0.77244258872651361,0.78381374722838137,0.80666666666666664,0.79374999999999996,0.80684326710816778,0.79322033898305089,0.7813121272365805,0.78588516746411485,0.78871794871794876,0.79314420803782504,0.797583081570997,0.79525862068965514,0.80229226361031514,0.82874015748031493,0.81918819188191883,0.81730769230769229,0.84488107549120994,0.82627118644067798,0.84059511158342193,0.8312611012433393,0.85950413223140498,0.8324873096446701,0.82962962962962961,0.58078602620087338,0.54323308270676696,0.56512141280353201,0.58795180722891571,0.55000000000000004,0.55772646536412074,NA,0.29411764705882354,0.5714285714285714,0.26666666666666666,0.55871212121212122
CaUTC00138833,,,0.82828282828282829,0.77681159420289858,0.81481481481481477,0.77777777777777779,0.77810650887573962,0.81458966565349544,0.81847133757961787,0.8177215189873418,0.80987654320987656,0.78518518518518521,0.80555555555555558,0.82519280205655532,0.85277777777777775,0.83018867924528306,0.81978798586572443,0.80995475113122173,0.82456140350877194,0.82121212121212117,0.82816229116945106,0.83333333333333337,0.82631578947368423,0.83625730994152048,0.82687338501291985,0.83333333333333337,0.83466666666666667,0.81538461538461537,0.82871536523929468,0.82947368421052636,0.82751091703056767,0.81963927855711427,0.77966101694915257,0.60784313725490191,0.62804878048780488,NA,0.65591397849462363,0.64804469273743015,0.88173652694610782,0.83384146341463417,0.87965616045845274,0.86976744186046506,0.84773060029282576,0.85871271585557296,0.87523992322456812,0.85443037974683544,0.86398763523956723,0.84631147540983609,0.87147335423197492,0.88724584103512016,0.88,0.8643790849673203,0.88095238095238093,0.8875502008032129,0.77708333333333335,0.7763440860215054,0.79229122055674517,0.78752886836027713,0.80875576036866359,0.79515418502202639,0.77292576419213976,0.77037037037037037,0.77066115702479343,0.77727272727272723,0.75443037974683547,0.77078651685393262,0.77710843373493976,0.76976744186046508,0.77935222672064774,0.78186274509803921,0.77859778597785978,0.7931034482758621,0.78533094812164583,0.78961038961038965,0.97888386123680238,0.90392422192151556,0.89008042895442363,0.89375000000000004,0.92038216560509556,0.8354700854700855,0.84022556390977443,0.84068627450980393,0.8441558441558441,0.86004056795131845,0.90080000000000005,0.59926470588235292,0.59154929577464788,0.58796296296296291,0.58865248226950351,0.59259259259259256,0.58285714285714285,NA,0.34782608695652173,0.57777777777777772,0.26666666666666666,0.60526315789473684
Ck1,,,,0.86099754701553555,0.86632390745501286,0.86190845616757172,0.88041594454072791,0.88418079096045199,0.87058823529411766,0.8920922570016474,0.87042459736456812,0.87239583333333337,0.8776779543883898,0.87693389592123772,0.89497135582431575,0.86518518518518517,0.88273092369477912,0.86660359508041629,0.89229494614747307,0.89298626174981921,0.86781229345670852,0.86740331491712708,0.87544996400287978,0.8649492583918813,0.86467730742539906,0.87361419068736146,0.88895979578813022,0.79569892473118276,0.7976653696498055,0.80263157894736847,0.79551122194513713,0.81807228915662655,0.82258064516129037,0.59782608695652173,0.66666666666666663,NA,0.61855670103092786,0.62869198312236285,0.82054794520547947,0.81805157593123212,0.81963190184049084,0.82658227848101262,0.81985294117647056,0.82689747003994674,0.81509433962264155,0.82758620689655171,0.81224489795918364,0.80842911877394641,0.81412639405204457,0.8209169054441261,0.82489740082079344,0.79974489795918369,0.81333333333333335,0.82352941176470584,0.80619111709286673,0.78756476683937826,0.80897250361794504,0.80840543881334981,0.81868131868131866,0.82758620689655171,0.80779569892473113,0.78963893249607531,0.79450261780104714,0.7967479674796748,0.7963483146067416,0.81087762669962915,0.80125786163522017,0.80057388809182206,0.80154355016538037,0.77994428969359331,0.79695431472081213,0.79012345679012341,0.78887627695800222,0.80376344086021501,0.82332155477031799,0.82409638554216869,0.81333333333333335,0.80968858131487886,0.82806052269601105,0.81560283687943258,0.83008356545961004,0.81312127236580511,0.8238021638330757,0.82476943346508569,0.8115330520393812,0.6586826347305389,0.62228260869565222,0.64827586206896548,0.65273311897106112,0.63095238095238093,0.61917808219178083,NA,0.47368421052631576,0.63116883116883116,0.33333333333333331,0.62168674698795179
Ck10,,,,,0.89184234647112737,0.89729299363057324,0.89642857142857146,0.8622493461203139,0.87372013651877134,0.88239757207890746,0.88279932546374362,0.90068493150684936,0.84267912772585674,0.85213675213675211,0.85051140833988981,0.86416666666666664,0.84342560553633217,0.84118190212373034,0.86367880485527548,0.86115843270868819,0.85244587008821171,0.858843537414966,0.85468615649183144,0.85271966527196652,0.8586515028432169,0.86287089013632723,0.86427457098283933,0.7984251968503937,0.80431177446102819,0.80208333333333337,0.80529595015576327,0.81140350877192979,0.81001727115716748,0.56730769230769229,0.62303664921465973,NA,0.65555555555555556,0.64646464646464652,0.8160583941605839,0.80000000000000004,0.81540697674418605,0.82930513595166166,0.82471264367816088,0.82488479262672809,0.81782178217821777,0.79869067103109659,0.80246913580246915,0.80378250591016553,0.79910044977511241,0.81526717557251904,0.82307692307692304,0.81085043988269789,0.8080645161290323,0.82495667244367421,0.78472222222222221,0.80683506686478457,0.79044684129429887,0.82992125984251963,0.81987577639751552,0.80590717299578063,0.79591836734693877,0.80960264900662249,0.80781758957654726,0.79320113314447593,0.80928689883913763,0.81735159817351599,0.79790419161676651,0.81044776119402984,0.80594900849858353,0.79284649776453053,0.80028735632183912,0.80473372781065089,0.80359612724757956,0.81612903225806455,0.802491103202847,0.78699861687413553,0.79702970297029707,0.77192982456140347,0.79266347687400318,0.83898305084745761,0.84264705882352942,0.83333333333333337,0.85084745762711866,0.84440842787682335,0.81832298136645965,0.64506172839506171,0.6216216216216216,0.62637362637362637,0.63815789473684215,0.61038961038961037,0.62464183381088823,NA,0.375,0.61206896551724133,0.16666666666666666,0.62790697674418605
Ck11,,,,,,0.88164665523156094,0.89783001808318263,0.88577362409138105,0.87488584474885844,0.89043478260869569,0.8729281767955801,0.89505637467476151,0.85194174757281549,0.85073339085418465,0.86493506493506489,0.86111111111111116,0.83228699551569507,0.84043715846994538,0.87158746208291205,0.89046270066100097,0.85590277777777779,0.86590709903593344,0.86216466234967626,0.85686080947680154,0.83879093198992438,0.85278276481149018,0.87256637168141593,0.79898648648648651,0.82064297800338415,0.81375838926174493,0.80317460317460321,0.81109445277361314,0.79751332149200715,0.56730769230769229,0.61142857142857143,NA,0.6166666666666667,0.59583333333333333,0.83965014577259478,0.83144246353322526,0.8300561797752809,0.82978723404255317,0.82658959537572252,0.83954154727793695,0.82183908045977017,0.8303715670436187,0.83130699088145898,0.79498861047835989,0.81901840490797551,0.82439024390243898,0.81818181818181823,0.8134110787172012,0.8240418118466899,0.81786339754816118,0.80085959885386815,0.79699248120300747,0.81374045801526718,0.81603773584905659,0.81151079136690651,0.81750741839762608,0.81189710610932475,0.79937791601866248,0.80739599383667182,0.80930930930930933,0.80967238689547583,0.80916030534351147,0.80147058823529416,0.82393162393162389,0.8136054421768707,0.79904306220095689,0.80653950953678477,0.80797636632200887,0.81781376518218618,0.8239095315024233,0.81261261261261264,0.81899871630295251,0.80188679245283023,0.80026631158455397,0.82573289902280134,0.83124128312412826,0.85052316890881918,0.82758620689655171,0.84021543985637348,0.84084084084084088,0.81454005934718099,0.64569536423841056,0.62388059701492538,0.61619718309859151,0.6789667896678967,0.61445783132530118,0.60362694300518138,NA,0.25,0.63538873994638068,0.16666666666666666,0.62337662337662336
Ck12,,,,,,,0.88809946714031973,0.87144089732528041,0.88468158347676418,0.89333333333333331,0.87660668380462725,0.87745974955277284,0.85342019543973946,0.84470008216926873,0.86052009456264777,0.83834281072298944,0.84734133790737565,0.85095669687814701,0.85073170731707315,0.87949640287769781,0.85991561181434595,0.85752448797862868,0.86929824561403513,0.85359589041095896,0.84034948371723595,0.85008517887563884,0.86515028432168972,0.79220779220779225,0.78596491228070176,0.78730703259005141,0.79447852760736193,0.8038585209003215,0.7982300884955752,0.53703703703703709,0.57692307692307687,NA,0.60999999999999999,0.60606060606060608,0.79029733959311421,0.79461279461279466,0.79737609329446069,0.80325443786982254,0.80028328611898014,0.81428571428571428,0.79532163742690054,0.78938640132669979,0.7938808373590982,0.76666666666666672,0.78247734138972813,0.79705400981996721,0.79773462783171523,0.78366762177650429,0.81418918918918914,0.80594405594405594,0.77828054298642535,0.79521674140508225,0.79899497487437188,0.80610687022900762,0.81159420289855078,0.79663608562691135,0.78691019786910199,0.79804560260586321,0.79773462783171523,0.79439252336448596,0.7931034482758621,0.79326186830015311,0.78173374613003099,0.80129240710823912,0.80590717299578063,0.7953410981697171,0.78821656050955413,0.79876160990712075,0.79859154929577469,0.80775716694772348,0.79061371841155237,0.77524893314366994,0.77184466019417475,0.76634214186369953,0.79575163398692805,0.81779661016949157,0.82126348228043144,0.81764705882352939,0.82727272727272727,0.82063492063492061,0.7913322632423756,0.66412213740458015,0.66304347826086951,0.66806722689075626,0.66412213740458015,0.66269841269841268,0.66784452296819785,NA,0.25,0.67132867132867136,0.16666666666666666,0.65845070422535212
Ck17,,,,,,,,0.88073394495412849,0.88441780821917804,0.89440993788819878,0.88390501319261217,0.88809310653536255,0.85299003322259137,0.8595744680851064,0.86460032626427408,0.86464826357969726,0.8516068052930057,0.86457204767063922,0.87437185929648242,0.86171132238547965,0.86042553191489357,0.86390532544378695,0.87641427328111399,0.85575221238938048,0.85655058043117749,0.85931899641577059,0.87129551227773072,0.80366056572379363,0.81833910034602075,0.81402936378466562,0.80655226209048358,0.79761904761904767,0.8065630397236615,0.51200000000000001,0.58064516129032262,NA,0.62135922330097082,0.60804020100502509,0.81279999999999997,0.80213089802130899,0.79236641221374049,0.81043956043956045,0.80149253731343284,0.81421647819063003,0.80188679245283023,0.81135225375626041,0.80519480519480524,0.78014184397163122,0.79044684129429887,0.81067961165048541,0.79272151898734178,0.79727685325264752,0.81602914389799641,0.81481481481481477,0.79907975460122704,0.80218068535825549,0.81144781144781142,0.81065088757396453,0.79506933744221875,0.81335356600910469,0.81320450885668272,0.78593272171253825,0.8154093097913323,0.78581979320531758,0.79866888519134771,0.80959520239880056,0.78892215568862278,0.80163934426229511,0.803475935828877,0.78184480234260612,0.80199430199430199,0.79668049792531115,0.80508474576271183,0.81219110378912684,0.80487804878048785,0.79532967032967028,0.81188118811881194,0.78838174273858919,0.80515297906602257,0.8154929577464789,0.83018867924528306,0.82616822429906545,0.83561643835616439,0.82752902155887231,0.7961476725521669,0.63522012578616349,0.58908045977011492,0.62357414448669202,0.60702875399361023,0.64383561643835618,0.60579710144927534,NA,0.38095238095238093,0.60623229461756378,0.26666666666666666,0.61968085106382975
Ck2,,,,,,,,,0.87,0.86975524475524479,0.86198738170347,0.88067061143984215,0.87063953488372092,0.86729857819905209,0.90768146582100073,0.88105352591333896,0.86979166666666663,0.86565836298932386,0.87365591397849462,0.89068231841526047,0.86584481508339373,0.87596236099230107,0.88059701492537312,0.86956521739130432,0.87627251370399373,0.86814932486100083,0.89036312849162014,0.79761904761904767,0.79685039370078736,0.7991573033707865,0.78306878306878303,0.80000000000000004,0.79943100995732574,0.59782608695652173,0.61585365853658536,NA,0.6310679611650486,0.63953488372093026,0.8424962852897474,0.82544378698224852,0.84313725490196079,0.84005763688760804,0.82745591939546603,0.83561643835616439,0.83484573502722326,0.82836879432624111,0.8295774647887324,0.81096408317580337,0.82860998650472339,0.82686567164179103,0.83791208791208793,0.81438848920863305,0.82073813708260102,0.82894736842105265,0.81804281345565755,0.8080357142857143,0.83444816053511706,0.82923497267759561,0.83500717360114773,0.81985815602836876,0.81804949053857345,0.8070444104134763,0.81065918653576441,0.7973509933774835,0.80494905385735083,0.80620155038759689,0.81140350877192979,0.81911764705882351,0.81558441558441563,0.78151260504201681,0.80959302325581395,0.80513595166163143,0.79923761118170267,0.81550802139037437,0.82376237623762372,0.8231966053748232,0.77456647398843925,0.80165289256198347,0.83382789317507422,0.83540802213001386,0.85065885797950225,0.8442982456140351,0.84735202492211836,0.84256055363321802,0.82673267326732669,0.64556962025316456,0.60160427807486627,0.65686274509803921,0.61128526645768022,0.6228070175438597,0.59999999999999998,NA,0.40000000000000002,0.59459459459459463,0.33333333333333331,0.5758426966292135
Ck20,,,,,,,,,,0.88541666666666663,0.86882300089847264,0.8745551601423488,0.86684782608695654,0.85426214482126495,0.87583333333333335,0.86470078057241972,0.84963099630996308,0.83511777301927193,0.88223140495867769,0.86548672566371676,0.85880250223413768,0.86926406926406929,0.87387387387387383,0.85572587917042375,0.86491079014443495,0.86046511627906974,0.87629757785467133,0.79727427597955702,0.79241877256317694,0.79050736497545004,0.79936808846761453,0.80061349693251538,0.78115015974440893,0.54629629629629628,0.59459459459459463,NA,0.54621848739495793,0.62436548223350252,0.79748822605965464,0.81847133757961787,0.82707993474714514,0.82164634146341464,0.81845688350983359,0.8303715670436187,0.81310211946050093,0.80897009966777411,0.80960264900662249,0.79481132075471694,0.79844961240310075,0.8099688473520249,0.81607418856259661,0.79936808846761453,0.78998384491114704,0.82332155477031799,0.78260869565217395,0.79545454545454541,0.79378068739770868,0.80091883614088821,0.8012048192771084,0.79198767334360554,0.79024390243902443,0.77588871715610508,0.78253424657534243,0.78386605783866059,0.78172588832487311,0.7821316614420063,0.77073906485671195,0.79872204472843455,0.79542203147353363,0.78008915304606241,0.79562043795620441,0.78726708074534157,0.78463855421686746,0.79479326186830013,0.80934579439252341,0.82170542635658916,0.79695431472081213,0.80769230769230771,0.81699346405228757,0.83070301291248205,0.84319526627218933,0.82772277227722768,0.83728813559322035,0.82871125611745511,0.8066561014263075,0.61492537313432838,0.61746987951807231,0.61129568106312293,0.61587301587301591,0.61445783132530118,0.61764705882352944,NA,0.33333333333333331,0.62608695652173918,0.26666666666666666,0.60289855072463772
Ck21,,,,,,,,,,,0.89655172413793105,0.89486356340288919,0.8650619985412108,0.85736800630417653,0.87127158555729989,0.87418831168831168,0.84615384615384615,0.85494716618635924,0.86423220973782766,0.8571428571428571,0.86115326251896818,0.87351778656126478,0.87478849407783421,0.85215272136474407,0.84558823529411764,0.84951456310679607,0.88038277511961727,0.81458003169572113,0.80634920634920637,0.81984732824427486,0.80900621118012417,0.82122093023255816,0.80615384615384611,0.52727272727272723,0.63586956521739135,NA,0.63043478260869568,0.63861386138613863,0.82861189801699719,0.81602373887240354,0.83399734395750336,0.83999999999999997,0.83545918367346939,0.83636363636363631,0.83422459893048129,0.81831187410586548,0.82792665726375181,0.80039920159680644,0.82406209573091849,0.82274741506646976,0.82695035460992905,0.82290279627163787,0.83333333333333337,0.82892416225749554,0.78699861687413553,0.81022880215343207,0.82639885222381637,0.83029453015427768,0.84024577572964665,0.81890812250332889,0.81101190476190477,0.8018433179723502,0.83384615384615379,0.79108635097493041,0.8154093097913323,0.81917808219178079,0.7858117326057299,0.79705882352941182,0.81568627450980391,0.78947368421052633,0.81980742778541948,0.81456953642384111,0.82038216560509558,0.82137628111273797,0.79861111111111116,0.82165605095541405,0.80487804878048785,0.80000000000000004,0.8115330520393812,0.84728340675477243,0.84022824536376606,0.83232323232323235,0.84210526315789469,0.84276729559748431,0.81792318634423899,0.64506172839506171,0.65588235294117647,0.61694915254237293,0.67957746478873238,0.60355029585798814,0.62564102564102564,NA,0.45000000000000001,0.62729658792650922,0.3888888888888889,0.61185983827493262
