,CaASU0020421,CaUTC00138833,Ck1,Ck10,Ck11,Ck12,Ck17,Ck2,Ck20,Ck21,Ck22,Ck23,Ck26,Ck29,Ck3,Ck32,Ck34,Ck35,Ck36,Ck4,Ck49,Ck50,Ck51,Ck54,Ck54_R,Ck56,Ck7,Ck80,Ck81,Ck83,Ck85,Ck85_R,Ck88,Ck92,Ck94,Ck95,Ck96,Ck98,Dm100,Dm102,Dm104,Dm106,Dm108,Dm110,Dm111,Dm112,Dm112_R,Dm113,Dm114,Dm115,Dm116,Dm117,Dm118,Dm119,Mg37,Mg38,Mg39,Mg40,Mg40_R,Mg41,Mg57,Mg58,Mg59,Mg60,Mg61,Mg64,Mg64_R,Mg67,Mg69,Mg70,Mg72,Mg74,Mg77,Mg79,Nv120,Nv122,Nv123,Nv125,Nv127,Nv130,Nv131,Nv134,Nv134_R,Nv136,Nv138,Pa140,Pa141,Pa143,Pa145,Pa147,Pa147_R,Pa150,Pa152,Pa154,Pa156,Pa158
CaASU0020421,,7594,7231,7428,7426,7395,7460,7310,7454,7360,7264,7466,7247,7230,7356,7365,7431,7564,7407,7351,7270,7399,7357,7337,7362,7352,7329,6850,6723,6850,6685,6720,6791,7860,7846,8035,7910,7756,7125,7206,7099,7190,6892,7125,7344,7104,7076,7142,6988,7245,7131,7085,7301,7372,7126,7108,7240,7013,7169,7116,7042,7303,7077,7133,7135,7075,7129,7150,7029,7199,7060,7189,7042,7107,7337,7019,7764,6995,7068,7091,7094,7472,7309,7247,7225,7577,7503,7582,7620,7515,7472,8035,8018,7475,8020,7507
CaUTC00138833,,,7639,7690,7657,7684,7697,7706,7721,7640,7630,7630,7603,7646,7675,7664,7752,7814,7636,7705,7616,7669,7655,7693,7648,7681,7660,7580,7638,7560,7577,7536,7681,7933,7871,8035,7942,7856,7367,7379,7337,7390,7352,7398,7514,7403,7388,7547,7397,7494,7585,7423,7531,7537,7555,7570,7568,7602,7601,7581,7577,7630,7551,7595,7640,7590,7537,7605,7541,7627,7493,7542,7476,7650,7372,7296,7662,7235,7407,7567,7503,7627,7650,7542,7410,7763,7751,7819,7753,7738,7685,8035,8012,7720,8020,7693
Ck1,,,,6812,6868,6746,6881,6619,6930,6821,6669,6883,6588,6613,6464,6685,6790,6978,6828,6652,6522,6768,6646,6754,6594,6682,6468,7291,7264,7275,7233,7205,7353,7943,7864,8035,7938,7798,7305,7337,7220,7245,7219,7284,7505,7310,7300,7513,7228,7337,7304,7251,7435,7457,7292,7263,7344,7226,7307,7310,7291,7398,7271,7297,7323,7226,7240,7338,7128,7317,7247,7306,7154,7291,7469,7205,7810,7168,7308,7189,7317,7532,7388,7276,7324,7701,7667,7745,7724,7699,7670,8035,8016,7650,8020,7620
Ck10,,,,,6944,6779,6915,6888,6863,6717,6849,6867,6751,6865,6764,6835,6879,6952,6964,6861,6788,6859,6872,6840,6804,6788,6753,7400,7432,7363,7393,7351,7456,7931,7844,8035,7945,7837,7350,7345,7347,7373,7339,7384,7530,7424,7387,7612,7368,7380,7385,7353,7415,7458,7315,7362,7386,7400,7391,7324,7398,7431,7421,7329,7432,7378,7367,7365,7329,7364,7339,7359,7312,7415,7473,7312,7833,7351,7408,7327,7355,7543,7445,7418,7391,7711,7702,7762,7731,7727,7686,8035,8019,7687,8023,7691
Ck11,,,,,,6869,6929,7072,6940,6885,6949,6882,6799,6876,6880,6883,6920,7120,7046,6976,6883,6894,6954,7022,6844,6921,6905,7443,7444,7439,7405,7368,7472,7931,7860,8035,7915,7795,7349,7418,7323,7330,7343,7337,7513,7416,7377,7596,7383,7420,7397,7349,7461,7464,7337,7370,7380,7399,7340,7361,7413,7392,7386,7369,7394,7380,7355,7450,7300,7408,7301,7358,7294,7416,7480,7256,7823,7284,7421,7318,7366,7542,7478,7369,7361,7733,7700,7751,7764,7703,7649,8035,8023,7662,8023,7650
Ck12,,,,,,,6909,6876,6873,6835,6868,6917,6807,6818,6766,6804,6869,7042,7010,6923,6850,6912,6895,6867,6776,6861,6804,7419,7465,7452,7383,7413,7470,7927,7853,8035,7935,7837,7396,7441,7349,7359,7329,7405,7522,7432,7414,7555,7373,7424,7417,7337,7443,7463,7372,7366,7438,7380,7414,7381,7378,7421,7417,7393,7426,7382,7389,7416,7324,7434,7407,7389,7325,7442,7481,7332,7829,7316,7423,7327,7386,7525,7485,7405,7412,7773,7759,7797,7773,7783,7752,8035,8023,7749,8023,7751
Ck17,,,,,,,,6945,6867,6908,6898,6918,6831,6860,6809,6912,6977,7112,7040,6878,6860,6852,6886,6905,6829,6919,6854,7434,7457,7422,7394,7363,7456,7910,7849,8035,7932,7836,7410,7378,7380,7307,7365,7416,7505,7436,7419,7612,7386,7417,7403,7374,7486,7441,7383,7393,7441,7359,7386,7376,7414,7381,7412,7358,7434,7368,7367,7425,7287,7352,7333,7312,7327,7428,7502,7307,7833,7312,7414,7325,7399,7500,7451,7432,7412,7717,7687,7772,7722,7743,7690,8035,8014,7682,8020,7659
Ck2,,,,,,,,,6935,6891,6767,7021,6659,6769,6616,6858,6883,6911,6919,6672,6656,6866,6762,6701,6758,6776,6603,7363,7400,7323,7279,7320,7332,7943,7871,8035,7932,7863,7362,7359,7321,7341,7241,7305,7484,7330,7325,7506,7294,7365,7307,7340,7466,7503,7381,7363,7437,7303,7338,7330,7348,7382,7322,7280,7348,7261,7351,7355,7265,7321,7347,7373,7248,7287,7530,7328,7862,7309,7361,7312,7352,7579,7393,7457,7429,7719,7661,7729,7716,7693,7650,8035,8020,7665,8020,7679
Ck20,,,,,,,,,,6883,6922,6911,6931,6944,6835,6882,6951,7101,7067,6905,6916,6880,6925,6926,6858,6874,6879,7448,7481,7424,7402,7383,7409,7927,7850,8035,7916,7838,7398,7407,7422,7379,7374,7416,7516,7433,7431,7611,7390,7393,7388,7402,7416,7469,7368,7419,7424,7382,7371,7386,7420,7388,7451,7378,7444,7397,7372,7409,7336,7362,7350,7391,7371,7382,7500,7390,7838,7385,7423,7338,7359,7530,7445,7422,7404,7700,7703,7734,7720,7703,7695,8035,8017,7690,8020,7690
Ck21,,,,,,,,,,,6788,6789,6664,6766,6761,6803,6774,6994,6967,6761,6717,6770,6853,6804,6675,6799,6781,7404,7405,7380,7391,7347,7385,7925,7851,8035,7943,7833,7329,7361,7282,7335,7251,7320,7474,7336,7326,7534,7262,7358,7330,7284,7417,7468,7312,7292,7338,7322,7384,7284,7363,7384,7385,7317,7412,7305,7302,7355,7270,7370,7308,7280,7250,7352,7459,7250,7830,7270,7324,7354,7334,7540,7465,7399,7332,7711,7695,7740,7751,7697,7645,8035,8015,7654,8017,7664
Ck22,,,,,,,,,,,,6934,6687,6753,6652,6886,6838,6918,7001,6635,6722,6824,6777,6776,6742,6788,6714,7384,7282,7235,7294,7321,7279,7943,7844,8035,7928,7833,7230,7258,7310,7305,7189,7316,7441,7256,7220,7464,7287,7396,7322,7243,7475,7523,7300,7281,7399,7301,7349,7274,7285,7467,7308,7293,7258,7242,7299,7407,7235,7379,7232,7350,7140,7281,7428,7252,7846,7216,7329,7349,7368,7581,7495,7410,7427,7684,7661,7727,7692,7675,7632,8035,8016,7619,8020,7609
Ck23,,,,,,,,,,,,,6822,6828,6866,6875,6929,7121,7027,6929,6855,6877,6943,6986,6882,6900,6873,7448,7447,7416,7421,7415,7504,7931,7845,8035,7935,7804,7347,7383,7335,7324,7358,7351,7456,7393,7340,7661,7371,7405,7410,7340,7441,7484,7375,7434,7378,7444,7394,7403,7433,7456,7427,7425,7451,7410,7371,7409,7293,7441,7305,7381,7339,7435,7455,7254,7821,7265,7411,7373,7377,7609,7500,7409,7399,7710,7733,7786,7728,7732,7679,8035,8023,7678,8023,7681
Ck26,,,,,,,,,,,,,,6510,6516,6619,6649,6784,6741,6622,6422,6616,6496,6609,6531,6625,6537,7317,7313,7293,7240,7283,7305,7928,7839,8035,7943,7830,7278,7311,7256,7253,7211,7258,7427,7285,7249,7486,7250,7431,7262,7225,7449,7458,7318,7317,7339,7255,7304,7327,7316,7354,7272,7285,7288,7234,7259,7370,7145,7358,7254,7279,7150,7289,7469,7164,7831,7157,7301,7308,7297,7540,7427,7356,7349,7654,7653,7689,7698,7636,7600,8035,8020,7608,8020,7605
Ck29,,,,,,,,,,,,,,,6587,6609,6791,6924,6762,6753,6501,6592,6616,6719,6544,6626,6616,7259,7365,7270,7225,7219,7347,7924,7835,8035,7932,7792,7248,7271,7199,7246,7233,7289,7485,7371,7289,7496,7236,7318,7323,7204,7437,7462,7289,7287,7324,7255,7277,7312,7270,7391,7254,7285,7328,7236,7247,7291,7137,7308,7171,7204,7161,7295,7443,7186,7813,7201,7318,7213,7243,7523,7412,7323,7319,7681,7640,7733,7726,7653,7636,8035,8014,7605,8020,7621
Ck3,,,,,,,,,,,,,,,,6713,6800,6887,6862,6524,6501,6694,6558,6681,6570,6657,6429,7359,7375,7298,7273,7282,7381,7943,7835,8035,7932,7807,7350,7337,7273,7277,7245,7319,7477,7357,7273,7545,7333,7421,7330,7270,7446,7474,7285,7309,7354,7276,7305,7351,7315,7368,7286,7291,7299,7276,7275,7329,7128,7308,7218,7282,7175,7310,7503,7217,7802,7310,7319,7251,7346,7562,7393,7378,7395,7658,7610,7735,7644,7688,7604,8035,8016,7576,8017,7615
Ck32,,,,,,,,,,,,,,,,,6766,6927,6815,6830,6657,6683,6677,6819,6651,6731,6732,7354,7398,7348,7339,7294,7436,7928,7825,8035,7946,7805,7304,7367,7333,7314,7289,7357,7501,7394,7364,7594,7361,7402,7395,7325,7450,7459,7344,7377,7342,7354,7320,7377,7395,7401,7328,7358,7423,7347,7339,7371,7253,7379,7250,7293,7267,7388,7511,7273,7814,7225,7375,7274,7317,7521,7436,7352,7339,7660,7652,7742,7703,7707,7647,8035,8021,7635,8023,7642
