,CaASU0020421,CaUTC00138833,Ck1,Ck10,Ck11,Ck12,Ck17,Ck2,Ck20,Ck21,Ck22,Ck23,Ck26,Ck29,Ck3,Ck32,Ck34,Ck35,Ck36,Ck4,Ck49,Ck50,Ck51,Ck54,Ck56,Ck7,Ck80,Ck81,Ck83,Ck85,Ck88,Ck92,Ck94,Ck96,Ck98,Dm100,Dm102,Dm104,Dm106,Dm108,Dm110,Dm111,Dm112,Dm113,Dm114,Dm115,Dm116,Dm117,Dm118,Dm119,Mg37,Mg38,Mg39,Mg40,Mg41,Mg57,Mg58,Mg59,Mg60,Mg61,Mg64,Mg67,Mg69,Mg70,Mg72,Mg74,Mg77,Mg79,Nv120,Nv122,Nv125,Nv127,Nv130,Nv131,Nv134,Nv136,Nv138,Pa140,Pa141,Pa143,Pa145,Pa147,Pa154,Pa158
CaASU0020421,,0.85185185185185186,0.84948096885813151,0.84952380952380957,0.84310018903591677,0.82917466410748564,0.84601113172541742,0.86135181975736563,0.84269662921348309,0.85582255083179293,0.8558394160583942,0.83896620278330025,0.84812286689419791,0.86611570247933889,0.87344028520499106,0.86355475763016154,0.85961538461538467,0.86136363636363633,0.86802973977695164,0.85464098073555161,0.85024958402662232,0.85907335907335902,0.8686006825938567,0.84532374100719421,0.85528756957328389,0.87919463087248317,0.9241071428571429,0.9285714285714286,0.91000000000000003,0.93333333333333335,0.92307692307692313,0.65833333333333333,0.73648648648648651,0.72950819672131151,0.7142857142857143,0.86171761280931591,0.8616071428571429,0.86311239193083578,0.86846038863976083,0.87951807228915657,0.87870239774330039,0.86842105263157898,0.86523736600306278,0.85842293906810041,0.86512261580381467,0.86626139817629177,0.86969253294289894,0.85555555555555551,0.859375,0.85855263157894735,0.85823170731707321,0.86089644513137553,0.86009538950715425,0.86019971469329526,0.87390029325513197,0.86153846153846159,0.85416666666666663,0.86499215070643642,0.85403726708074534,0.87127158555729989,0.86303387334315174,0.85909090909090913,0.85309973045822107,0.85133020344287946,0.85493827160493829,0.85935085007727974,0.8615611192930781,0.86140089418777943,0.84440559440559437,0.8735955056179775,0.86274509803921573,0.8635761589403973,0.87443267776096822,0.8804034582132565,0.86345381526104414,0.86762360446570974,0.86106870229007637,0.74744027303754268,0.72115384615384615,0.74740484429065746,0.74657534246575341,0.75163398692810457,0.74433656957928807,0.75179856115107913
CaUTC00138833,,,0.84818481848184824,0.82059800664451832,0.83881578947368418,0.80503144654088055,0.80139372822299648,0.84042553191489366,0.8321917808219178,0.82298136645962738,0.819935691318328,0.81848184818481851,0.8150470219435737,0.82499999999999996,0.85667752442996747,0.85031847133757965,0.82771535580524347,0.82870370370370372,0.85099337748344372,0.83680555555555558,0.84142394822006472,0.85113268608414239,0.8434504792332268,0.82499999999999996,0.83750000000000002,0.84638554216867468,0.85893416927899691,0.87636363636363634,0.86397058823529416,0.86689419795221845,0.83599999999999997,0.60396039603960394,0.63970588235294112,0.68181818181818177,0.65540540540540537,0.91919191919191923,0.91145833333333337,0.91421568627450978,0.8928571428571429,0.90839694656488545,0.90769230769230769,0.9022346368715084,0.90263157894736845,0.89945652173913049,0.90263157894736845,0.89757412398921832,0.89884393063583812,0.91066997518610426,0.90813648293963256,0.91304347826086951,0.82887700534759357,0.82864450127877243,0.83905013192612132,0.82016348773841963,0.82978723404255317,0.82417582417582413,0.81420765027322406,0.82288828337874664,0.83661971830985915,0.82582582582582587,0.82825484764542934,0.84065934065934067,0.83080808080808077,0.84033613445378152,0.84226190476190477,0.83423913043478259,0.8328840970350404,0.84355828220858897,0.97814207650273222,0.9314420803782506,0.92583732057416268,0.92537313432835822,0.88770053475935828,0.87939698492462315,0.8691860465116279,0.87037037037037035,0.93112244897959184,0.70588235294117652,0.71291866028708128,0.70270270270270274,0.71296296296296291,0.70297029702970293,0.71162790697674416,0.70967741935483875
Ck1,,,,0.91044776119402981,0.91184971098265899,0.90468986384266259,0.9216965742251223,0.93220338983050843,0.89770992366412217,0.92564491654021241,0.90839694656488545,0.91129032258064513,0.91504178272980496,0.92339261285909713,0.92735042735042739,0.91774891774891776,0.90922844175491679,0.91768826619964972,0.92159763313609466,0.92672413793103448,0.91220850480109739,0.92921686746987953,0.9244755244755245,0.90629800307219666,0.91577335375191427,0.93994413407821231,0.83603603603603605,0.83173996175908227,0.8359073359073359,0.81680672268907561,0.82962962962962961,0.59340659340659341,0.67073170731707321,0.67272727272727273,0.6737967914438503,0.83875968992248062,0.83670033670033672,0.83856502242152464,0.84292379471228618,0.838006230529595,0.83816793893129771,0.83877551020408159,0.82901554404145072,0.82727272727272727,0.82554517133956384,0.82608695652173914,0.82825040128410909,0.81875993640699518,0.81961471103327499,0.83301707779886147,0.82459016393442619,0.82736156351791534,0.83012259194395799,0.83439490445859876,0.83280757097791802,0.82615894039735094,0.8165289256198347,0.82876712328767121,0.82753164556962022,0.828125,0.83520000000000005,0.84601769911504421,0.83480825958702065,0.81444991789819376,0.82775919732441472,0.82996632996633002,0.8304821150855366,0.83521809369951538,0.81941747572815538,0.83692307692307688,0.82098765432098764,0.82530120481927716,0.85213414634146345,0.85457516339869277,0.84507042253521125,0.85273972602739723,0.81832797427652737,0.75416666666666665,0.7578125,0.75518672199170123,0.76446280991735538,0.75100401606425704,0.75,0.76016260162601623
Ck10,,,,,0.93643410852713183,0.9428129829984544,0.9348591549295775,0.92738275340393339,0.91955835962145105,0.93070866141732278,0.94108019639934537,0.93700787401574803,0.91590214067278286,0.91076487252124649,0.921092564491654,0.91842900302114805,0.90127388535031849,0.91319444444444442,0.91653543307086616,0.92823712948517945,0.89339339339339341,0.91411042944785281,0.90683229813664601,0.89622641509433965,0.91242038216560506,0.93787878787878787,0.82809611829944552,0.82840236686390534,0.82319391634980987,0.8233151183970856,0.83132530120481929,0.60227272727272729,0.67901234567901236,0.68224299065420557,0.68681318681318682,0.83173076923076927,0.82130584192439859,0.83753943217665616,0.84256055363321802,0.83416252072968489,0.84290540540540537,0.83795309168443499,0.82174688057041001,0.80653266331658291,0.82352941176470584,0.82474226804123707,0.82996632996633002,0.81880341880341878,0.81578947368421051,0.83064516129032262,0.82284768211920534,0.82550335570469802,0.82241379310344831,0.8336134453781513,0.82741935483870965,0.81849315068493156,0.82922535211267601,0.82770870337477798,0.82950819672131149,0.82702702702702702,0.83445945945945943,0.83887043189368771,0.83860759493670889,0.82333333333333336,0.82833333333333337,0.82747068676716917,0.83089430894308947,0.83559322033898309,0.80879541108986619,0.82529118136439272,0.8087248322147651,0.82263513513513509,0.85950413223140498,0.85395189003436422,0.84444444444444444,0.85607476635514024,0.81944444444444442,0.74698795180722888,0.75708502024291502,0.7678571428571429,0.752,0.75416666666666665,0.75098814229249011,0.74901960784313726
Ck11,,,,,,0.93171471927162364,0.93668831168831168,0.91445427728613571,0.91176470588235292,0.93009118541033431,0.93225806451612903,0.94117647058823528,0.90277777777777779,0.89813486370157825,0.90442225392296716,0.91424418604651159,0.89230769230769236,0.90876565295169942,0.913767019667171,0.93206951026856244,0.89280677009873055,0.91755725190839699,0.90949554896142437,0.89638932496075352,0.89258698940998482,0.91949152542372881,0.8225190839694656,0.83772819472616633,0.83534136546184734,0.80960854092526691,0.8214285714285714,0.61363636363636365,0.69480519480519476,0.69158878504672894,0.6966292134831461,0.84999999999999998,0.84171322160148976,0.83896940418679544,0.84833333333333338,0.83589743589743593,0.845771144278607,0.83917525773195878,0.83699633699633702,0.80929095354523228,0.82547993019197208,0.81934306569343063,0.8321917808219178,0.8254237288135593,0.82592592592592595,0.82822085889570551,0.81596091205211729,0.81711409395973156,0.82741116751269039,0.8250401284109149,0.82622950819672136,0.82517482517482521,0.81270903010033446,0.828125,0.82608695652173914,0.82857142857142863,0.82861896838602334,0.84124087591240881,0.83207261724659609,0.80801335559265441,0.8371681415929203,0.8252100840336134,0.83966942148760326,0.83993115318416522,0.82921810699588472,0.83980582524271841,0.81680672268907561,0.82550335570469802,0.85641891891891897,0.85563380281690138,0.83902439024390241,0.85397412199630318,0.8225255972696246,0.75545851528384278,0.76033057851239672,0.74678111587982832,0.7649572649572649,0.74897119341563789,0.75100401606425704,0.75409836065573765
Ck12,,,,,,,0.92892561983471078,0.90701219512195119,0.92902208201892744,0.92879746835443033,0.92610837438423643,0.93800978792822187,0.90748898678414092,0.89389534883720934,0.91185410334346506,0.89799072642967548,0.89320388349514568,0.91094619666048238,0.90808240887480185,0.92604501607717038,0.88971684053651268,0.90964777947932618,0.89833080424886191,0.89123867069486407,0.89892802450229714,0.91530460624071319,0.81330868761552677,0.8206185567010309,0.80816326530612248,0.80180180180180183,0.81414141414141417,0.59090909090909094,0.65116279069767447,0.66355140186915884,0.65625,0.80927835051546393,0.80742049469964661,0.81388012618296535,0.82148760330578507,0.80960264900662249,0.82741116751269039,0.82809224318658281,0.80327868852459017,0.78823529411764703,0.80100334448160537,0.80427046263345192,0.80824372759856633,0.79837398373983737,0.80969479353680429,0.81563126252505014,0.81031613976705485,0.8134453781512605,0.81621621621621621,0.82295081967213113,0.8164983164983165,0.81443298969072164,0.81040268456375841,0.81611208406304725,0.81141868512110726,0.81501831501831501,0.8127147766323024,0.82374768089053807,0.81566820276497698,0.79727427597955702,0.81066176470588236,0.80789022298456259,0.81711409395973156,0.82310469314079426,0.796875,0.80431177446102819,0.79483037156704361,0.79864636209813877,0.84330985915492962,0.83391003460207613,0.83135391923990498,0.83518518518518514,0.79821428571428577,0.74683544303797467,0.75409836065573765,0.76666666666666672,0.74693877551020404,0.75109170305676853,0.74493927125506076,0.74399999999999999
Ck17,,,,,,,,0.92127303182579567,0.92088607594936711,0.93771043771043772,0.93520140105078808,0.93439716312056742,0.91162790697674423,0.90852713178294575,0.91014975041597335,0.91410048622366291,0.90549828178694158,0.91231343283582089,0.91572123176661269,0.92063492063492058,0.89703588143525737,0.92345276872964166,0.91547049441786288,0.90000000000000002,0.90645161290322585,0.91732909379968208,0.82560296846011128,0.8287937743190662,0.8302658486707567,0.8180212014134276,0.81902985074626866,0.59340659340659341,0.6811594202898551,0.67272727272727273,0.67901234567901236,0.82522522522522523,0.81985294117647056,0.82383419689119175,0.83134582623509368,0.8232235701906413,0.83212996389891691,0.83660130718954251,0.81939163498098855,0.7857142857142857,0.81028368794326244,0.81617647058823528,0.82417582417582413,0.80546075085324231,0.82011605415860733,0.83367983367983367,0.8158783783783784,0.81694915254237288,0.82846715328467158,0.81629392971246006,0.81907894736842102,0.8191126279863481,0.80495867768595042,0.82078853046594979,0.80801335559265441,0.82155477031802115,0.81999999999999995,0.82459312839059673,0.81959564541213059,0.79801324503311255,0.81949458483754511,0.81147540983606559,0.8186356073211315,0.82593856655290099,0.80368098159509205,0.81697171381031619,0.80000000000000004,0.8085808580858086,0.84293193717277481,0.84063047285464099,0.83518930957683746,0.8403846153846154,0.79684763572679507,0.76666666666666672,0.78095238095238095,0.76076555023923442,0.77674418604651163,0.77511961722488043,0.77314814814814814,0.77333333333333332
Ck2,,,,,,,,,0.91049382716049387,0.93135725429017158,0.91887675507020283,0.9251247920133111,0.93137254901960786,0.92969870875179339,0.9483240223463687,0.93343195266272194,0.92379471228615861,0.92079207920792083,0.93119266055045868,0.94797687861271673,0.91492329149232909,0.93178294573643405,0.92897727272727271,0.91654021244309558,0.92000000000000004,0.95145631067961167,0.84670231729055256,0.85170340681362722,0.84658040665434375,0.82914572864321612,0.83606557377049184,0.59340659340659341,0.64197530864197527,0.66363636363636369,0.65340909090909094,0.85481239804241438,0.84863945578231292,0.85316846986089645,0.85553772070626,0.85403726708074534,0.85266457680250785,0.8545454545454545,0.84863945578231292,0.82543103448275867,0.84044233807266988,0.84027777777777779,0.84711388455538217,0.83679999999999999,0.83303085299455537,0.84375,0.82884310618066559,0.83252818035426734,0.84154929577464788,0.8418674698795181,0.83542319749216298,0.82999999999999996,0.82554517133956384,0.83579638752052543,0.83280254777070062,0.83720930232558144,0.83042789223454838,0.8499156829679595,0.84434654919236418,0.81553398058252424,0.8397976391231029,0.83642495784148396,0.84006211180124224,0.84603421461897355,0.82448979591836735,0.84810126582278478,0.83171521035598706,0.83619344773790949,0.86842105263157898,0.86863711001642041,0.8571428571428571,0.86064030131826741,0.8321917808219178,0.75100401606425704,0.75451263537906132,0.78423236514522821,0.75862068965517238,0.7558139534883721,0.75724637681159424,0.77310924369747902
Ck20,,,,,,,,,,0.93289689034369883,0.92307692307692313,0.91764705882352937,0.90964777947932618,0.90030211480362543,0.9144144144144144,0.90432098765432101,0.90016638935108151,0.89806678383128291,0.91601866251944009,0.92032520325203249,0.8949704142011834,0.91087613293051362,0.90504451038575673,0.8936170212765957,0.89696969696969697,0.91981845688350983,0.82504604051565378,0.81872509960159368,0.81517509727626458,0.81739130434782614,0.81132075471698117,0.5714285714285714,0.67295597484276726,0.6454545454545455,0.67231638418079098,0.82646048109965631,0.82608695652173914,0.83333333333333337,0.83820998278829606,0.8347245409015025,0.8387650085763293,0.83575883575883581,0.81929824561403508,0.80387409200968518,0.82302405498281783,0.81462585034013602,0.8295652173913044,0.81292517006802723,0.81261261261261264,0.82634730538922152,0.80467445742904842,0.80541455160744502,0.8125,0.80865224625623955,0.80564784053156147,0.80104712041884818,0.79796264855687604,0.80073126142595974,0.8040201005025126,0.80591497227356745,0.80170940170940175,0.82238010657193605,0.81674565560821488,0.79611650485436891,0.80535714285714288,0.80378657487091221,0.80508474576271183,0.80814940577249572,0.81422924901185767,0.82571912013536375,0.81313131313131315,0.81996726677577736,0.85057471264367812,0.85572139303482586,0.83636363636363631,0.84643510054844606,0.80449826989619377,0.74297188755020083,0.75984251968503935,0.759493670886076,0.75590551181102361,0.75,0.74901960784313726,0.74803149606299213
Ck21,,,,,,,,,,,0.94041867954911429,0.93593749999999998,0.92142857142857137,0.91510791366906474,0.92592592592592593,0.92867540029112083,0.90854572713643178,0.91775700934579441,0.9258064516129032,0.92449922958397535,0.92296296296296299,0.9339477726574501,0.92295839753466868,0.90634920634920635,0.91575663026521059,0.92700729927007297,0.83272058823529416,0.84007707129094411,0.83921568627450982,0.82442748091603058,0.83333333333333337,0.57777777777777772,0.65269461077844315,0.65137614678899081,0.65775401069518713,0.84711388455538217,0.83587140439932317,0.83958020989505244,0.85064935064935066,0.8346709470304976,0.84881889763779528,0.84948453608247421,0.83417085427135673,0.8032407407407407,0.82692307692307687,0.82302405498281783,0.83760683760683763,0.83255813953488367,0.83130434782608698,0.83434343434343439,0.82758620689655171,0.83417935702199664,0.85328836424957843,0.84641068447412349,0.84703947368421051,0.83882149046793764,0.83047945205479456,0.84548611111111116,0.83732876712328763,0.84078711985688726,0.85166666666666668,0.83957219251336901,0.84146341463414631,0.8240418118466899,0.84509466437177283,0.84349258649093906,0.85106382978723405,0.85217391304347823,0.80924855491329484,0.84084084084084088,0.8203125,0.82649842271293372,0.85413290113452189,0.84589041095890416,0.83900226757369611,0.84853700516351116,0.82067851373182554,0.75744680851063828,0.76078431372549016,0.76106194690265483,0.76016260162601623,0.75102040816326532,0.74806201550387597,0.75708502024291502
