,CaASU0020421,CaUTC00138833,Ck1,Ck10,Ck11,Ck12,Ck17,Ck2,Ck20,Ck21,Ck22,Ck23,Ck26,Ck29,Ck3,Ck32,Ck34,Ck35,Ck36,Ck4,Ck49,Ck50,Ck51,Ck54,Ck56,Ck7,Ck80,Ck81,Ck83,Ck85,Ck88,Ck92,Ck94,Ck96,Ck98,Dm100,Dm102,Dm104,Dm106,Dm108,Dm110,Dm111,Dm112,Dm113,Dm114,Dm115,Dm116,Dm117,Dm118,Dm119,Mg37,Mg38,Mg39,Mg40,Mg41,Mg57,Mg58,Mg59,Mg60,Mg61,Mg64,Mg67,Mg69,Mg70,Mg72,Mg74,Mg77,Mg79,Nv120,Nv122,Nv125,Nv127,Nv130,Nv131,Nv134,Nv136,Nv138,Pa140,Pa141,Pa143,Pa145,Pa147,Pa154,Pa158
CaASU0020421,,351,578,525,529,521,539,577,534,541,548,503,586,605,561,557,520,440,538,571,601,518,586,556,539,596,672,616,600,660,611,120,148,122,189,687,672,694,669,747,709,532,653,558,734,658,683,720,640,608,656,647,629,701,682,650,624,637,644,637,679,660,742,639,648,647,679,671,572,712,714,755,661,694,498,627,655,293,312,289,292,306,309,278
CaUTC00138833,,,303,301,304,318,287,282,292,322,311,303,319,320,307,314,267,216,302,288,309,309,313,320,320,332,319,275,272,293,250,101,136,110,148,396,384,408,392,393,390,358,380,368,380,371,346,403,381,345,374,391,379,367,376,364,366,367,355,333,361,364,396,357,336,368,371,326,366,423,418,402,374,398,344,378,392,204,209,185,216,202,215,217
Ck1,,,,670,692,661,613,708,655,659,655,620,718,731,702,693,661,571,676,696,729,664,715,651,653,716,555,523,518,595,540,91,164,110,187,645,594,669,643,642,655,490,579,440,642,598,623,629,571,527,610,614,571,628,634,604,605,584,632,576,625,565,678,609,598,594,643,619,515,650,648,664,656,612,426,584,622,240,256,241,242,249,264,246
Ck10,,,,,645,647,568,661,634,635,611,635,654,706,659,662,628,576,635,641,666,652,644,636,628,660,541,507,526,549,498,88,162,107,182,624,582,634,578,603,592,469,561,398,595,582,594,585,570,496,604,596,580,595,620,584,568,563,610,555,592,602,632,600,600,597,615,590,523,601,596,592,605,582,405,535,576,249,247,224,250,240,253,255
Ck11,,,,,,659,616,678,646,658,620,629,720,697,701,688,650,559,661,633,709,655,674,637,661,708,524,493,498,562,504,88,154,107,178,580,537,621,600,585,603,485,546,409,573,548,584,590,540,489,614,596,591,623,610,572,598,576,598,560,601,548,661,599,565,595,605,581,486,618,595,596,592,568,410,541,586,229,242,233,234,243,249,244
Ck12,,,,,,,605,656,634,632,609,613,681,688,658,647,618,539,631,622,671,653,659,662,653,673,541,485,490,555,495,88,172,107,192,582,566,634,605,604,591,477,549,425,598,562,558,615,557,499,601,595,555,610,594,582,596,571,578,546,582,539,651,587,544,583,596,554,512,603,619,591,568,578,421,540,560,237,244,210,245,229,247,250
Ck17,,,,,,,,597,632,594,571,564,645,645,601,617,582,536,617,567,641,614,627,600,620,629,539,514,489,566,536,91,138,110,162,555,544,579,587,577,554,459,526,420,564,544,546,586,517,481,592,590,548,626,608,586,605,558,599,566,600,553,643,604,554,610,601,586,489,601,600,606,573,571,449,520,571,210,210,209,215,209,216,225
Ck2,,,,,,,,,648,641,641,601,714,697,716,676,643,606,654,692,717,645,704,659,650,721,561,499,541,597,549,91,162,110,176,613,588,647,623,644,638,495,588,464,633,576,641,625,551,512,631,621,568,664,638,600,642,609,628,602,631,593,681,618,593,593,644,643,490,632,618,641,608,609,413,531,584,249,277,241,261,258,276,238
Ck20,,,,,,,,,,611,598,595,653,662,666,648,601,569,643,615,676,662,674,611,660,661,543,502,514,575,530,91,159,110,177,582,575,594,581,599,583,481,570,413,582,588,575,588,555,501,599,591,560,601,602,573,589,547,597,541,585,563,633,618,560,581,590,589,506,591,594,611,609,603,440,547,578,249,254,237,254,248,255,254
Ck21,,,,,,,,,,,621,640,700,695,675,687,667,535,620,649,675,651,649,630,641,685,544,519,510,524,504,90,167,109,187,641,591,667,616,623,635,485,597,432,624,582,585,645,575,495,580,591,593,599,608,577,584,576,584,559,600,561,656,574,581,607,611,575,519,666,640,634,617,584,441,581,619,235,255,226,246,245,258,247
Ck22,,,,,,,,,,,,573,683,670,685,630,594,569,597,715,705,658,679,675,637,713,525,504,533,544,551,91,168,110,188,658,636,629,598,645,625,487,639,420,639,577,596,634,555,465,597,617,554,614,628,630,549,618,601,609,658,566,659,569,616,573,681,638,508,641,627,625,566,573,393,534,543,268,289,252,280,277,295,267
Ck23,,,,,,,,,,,,,648,669,616,667,628,532,597,587,640,644,624,594,618,626,530,478,486,513,461,88,161,107,181,600,558,621,581,577,576,489,554,377,566,549,554,601,556,487,559,528,570,557,556,540,540,519,556,515,560,559,620,560,562,566,561,548,518,610,611,584,592,559,389,530,563,245,243,220,250,241,246,251
Ck26,,,,,,,,,,,,,,734,744,706,679,587,675,700,758,674,720,681,679,759,574,533,536,603,567,91,164,109,183,623,593,657,629,639,645,510,603,450,642,555,616,658,549,495,635,617,600,665,640,602,643,626,618,614,656,579,712,606,610,613,671,630,505,681,654,656,616,605,426,577,613,259,273,239,264,269,279,251
