,CaASU0020421,CaUTC00138833,Ck1,Ck10,Ck11,Ck12,Ck17,Ck2,Ck20,Ck21,Ck22,Ck23,Ck26,Ck29,Ck3,Ck32,Ck34,Ck35,Ck36,Ck4,Ck49,Ck50,Ck51,Ck54,Ck56,Ck7,Ck80,Ck81,Ck83,Ck85,Ck88,Ck92,Ck94,Ck96,Ck98,Dm100,Dm102,Dm104,Dm106,Dm108,Dm110,Dm111,Dm112,Dm113,Dm114,Dm115,Dm116,Dm117,Dm118,Dm119,Mg37,Mg38,Mg39,Mg40,Mg41,Mg57,Mg58,Mg59,Mg60,Mg61,Mg64,Mg67,Mg69,Mg70,Mg72,Mg74,Mg77,Mg79,Nv120,Nv122,Nv125,Nv127,Nv130,Nv131,Nv134,Nv136,Nv138,Pa140,Pa141,Pa143,Pa145,Pa147,Pa154,Pa158
CaASU0020421,,718,491,544,540,548,530,492,535,528,521,566,483,464,508,512,549,629,531,498,468,551,483,513,530,473,397,453,469,409,458,949,921,947,880,382,397,375,400,322,360,537,416,511,335,411,386,349,429,461,413,422,440,368,387,419,445,432,425,432,390,409,327,430,421,422,390,398,497,357,355,314,408,375,571,442,414,776,757,780,777,763,760,791
CaUTC00138833,,,766,768,765,751,782,787,777,747,758,766,750,749,762,755,802,853,767,781,760,760,756,749,749,737,750,794,797,776,819,968,933,959,921,673,685,661,677,676,679,711,689,701,689,698,723,666,688,724,695,678,690,702,693,705,703,702,714,736,708,705,673,712,733,701,698,743,703,646,651,667,695,671,725,691,677,865,860,884,853,867,854,852
Ck1,,,,399,377,408,456,361,414,410,414,449,351,338,367,376,408,498,393,373,340,405,354,418,416,353,514,546,551,474,529,978,905,959,882,424,475,400,426,427,414,579,490,629,427,471,446,440,498,542,459,455,498,441,435,465,464,485,437,493,444,504,391,460,471,475,426,450,554,419,421,405,413,457,643,485,447,829,813,828,827,820,805,823
Ck10,,,,,424,422,501,408,435,434,458,434,415,363,410,407,441,493,434,428,403,417,425,433,441,409,528,562,543,520,571,981,907,962,887,445,487,435,491,466,477,600,508,671,474,487,475,484,499,573,465,473,489,474,449,485,501,506,459,514,477,467,437,469,469,472,454,479,546,468,473,477,464,487,664,534,493,820,822,845,819,829,816,814
Ck11,,,,,,410,453,391,423,411,449,440,349,372,368,381,419,510,408,436,360,414,395,432,408,361,545,576,571,507,565,981,915,962,891,489,532,448,469,484,466,584,523,660,496,521,485,479,529,580,455,473,478,446,459,497,471,493,471,509,468,521,408,470,504,474,464,488,583,451,474,473,477,501,659,528,483,840,827,836,835,826,820,825
Ck12,,,,,,,464,413,435,437,460,456,388,381,411,422,451,530,438,447,398,416,410,407,416,396,528,584,579,514,574,981,897,962,877,487,503,435,464,465,478,592,520,644,471,507,511,454,512,570,468,474,514,459,475,487,473,498,491,523,487,530,418,482,525,486,473,515,557,466,450,478,501,491,648,529,509,832,825,859,824,840,822,819
Ck17,,,,,,,,472,437,475,498,505,424,424,468,452,487,533,452,502,428,455,442,469,449,440,530,555,580,503,533,978,931,959,907,514,525,490,482,492,515,610,543,649,505,525,523,483,552,588,477,479,521,443,461,483,464,511,470,503,469,516,426,465,515,459,468,483,580,468,469,463,496,498,620,549,498,859,859,860,854,860,853,844
Ck2,,,,,,,,,421,428,428,468,355,372,353,393,426,463,415,377,352,424,365,410,419,348,508,570,528,472,520,978,907,959,893,456,481,422,446,425,431,574,481,605,436,493,428,444,518,557,438,448,501,405,431,469,427,460,441,467,438,476,388,451,476,476,425,426,579,437,451,428,461,460,656,538,485,820,792,828,808,811,793,831
Ck20,,,,,,,,,,458,471,474,416,407,403,421,468,500,426,454,393,407,395,458,409,408,526,567,555,494,539,978,910,959,892,487,494,475,488,470,486,588,499,656,487,481,494,481,514,568,470,478,509,468,467,496,480,522,472,528,484,506,436,451,509,488,479,480,563,478,475,458,460,466,629,522,491,820,815,832,815,821,814,815
Ck21,,,,,,,,,,,448,429,369,374,394,382,402,534,449,420,394,418,420,439,428,384,525,550,559,545,565,979,902,960,882,428,478,402,453,446,434,584,472,637,445,487,484,424,494,574,489,478,476,470,461,492,485,493,485,510,469,508,413,495,488,462,458,494,550,403,429,435,452,485,628,488,450,834,814,843,823,824,811,822
