,CaASU0020421,CaUTC00138833,Ck1,Ck10,Ck11,Ck12,Ck17,Ck2,Ck20,Ck21,Ck22,Ck23,Ck26,Ck29,Ck3,Ck32,Ck34,Ck35,Ck36,Ck4,Ck49,Ck50,Ck51,Ck54,Ck54_R,Ck56,Ck7,Ck80,Ck81,Ck83,Ck85,Ck85_R,Ck88,Ck92,Ck94,Ck95,Ck96,Ck98,Dm100,Dm102,Dm104,Dm106,Dm108,Dm110,Dm111,Dm112,Dm112_R,Dm113,Dm114,Dm115,Dm116,Dm117,Dm118,Dm119,Mg37,Mg38,Mg39,Mg40,Mg40_R,Mg41,Mg57,Mg58,Mg59,Mg60,Mg61,Mg64,Mg64_R,Mg67,Mg69,Mg70,Mg72,Mg74,Mg77,Mg79,Nv120,Nv122,Nv123,Nv125,Nv127,Nv130,Nv131,Nv134,Nv134_R,Nv136,Nv138,Pa140,Pa141,Pa143,Pa145,Pa147,Pa147_R,Pa150,Pa152,Pa154,Pa156,Pa158
CaASU0020421,,441,804,607,609,640,575,725,581,675,771,569,788,805,679,670,604,471,628,684,765,636,678,698,673,683,706,1185,1312,1185,1350,1315,1244,175,189,0,125,279,910,829,936,845,1143,910,691,931,959,893,1047,790,904,950,734,663,909,927,795,1022,866,919,993,732,958,902,900,960,906,885,1006,836,975,846,993,928,698,1016,271,1040,967,944,941,563,726,788,810,458,532,453,415,520,563,0,17,560,15,528
CaUTC00138833,,,396,345,378,351,338,329,314,395,405,405,432,389,360,371,283,221,399,330,419,366,380,342,387,354,375,455,397,475,458,499,354,102,164,0,93,179,668,656,698,645,683,637,521,632,647,488,638,541,450,612,504,498,480,465,467,433,434,454,458,405,484,440,395,445,498,430,494,408,542,493,559,385,663,739,373,800,628,468,532,408,385,493,625,272,284,216,282,297,350,0,23,315,15,342
Ck1,,,,1223,1167,1289,1154,1416,1105,1214,1366,1152,1447,1422,1571,1350,1245,1057,1207,1383,1513,1267,1389,1281,1441,1353,1567,744,771,760,802,830,682,92,171,0,97,237,730,698,815,790,816,751,530,725,735,522,807,698,731,784,600,578,743,772,691,809,728,725,744,637,764,738,712,809,795,697,907,718,788,729,881,744,566,830,225,867,727,846,718,503,647,759,711,334,368,290,311,336,365,0,19,385,15,415
Ck10,,,,,1091,1256,1120,1147,1172,1318,1186,1168,1284,1170,1271,1200,1156,1083,1071,1174,1247,1176,1163,1195,1231,1247,1282,635,603,672,642,684,579,104,191,0,90,198,685,690,688,662,696,651,505,611,648,423,667,655,650,682,620,577,720,673,649,635,644,711,637,604,614,706,603,657,668,670,706,671,696,676,723,620,562,723,202,684,627,708,680,492,590,617,644,324,333,273,304,308,349,0,16,348,12,344
Ck11,,,,,,1166,1106,963,1095,1150,1086,1153,1236,1159,1155,1152,1115,915,989,1059,1152,1141,1081,1013,1191,1114,1130,592,591,596,630,667,563,104,175,0,120,240,686,617,712,705,692,698,522,619,658,439,652,615,638,686,574,571,698,665,655,636,695,674,622,643,649,666,641,655,680,585,735,627,734,677,741,619,555,779,212,751,614,717,669,493,557,666,674,302,335,284,271,332,386,0,12,373,12,385
Ck12,,,,,,,1126,1159,1162,1200,1167,1118,1228,1217,1269,1231,1166,993,1025,1112,1185,1123,1140,1168,1259,1174,1231,616,570,583,652,622,565,108,182,0,100,198,639,594,686,676,706,630,513,603,621,480,662,611,618,698,592,572,663,669,597,655,621,654,657,614,618,642,609,653,646,619,711,601,628,646,710,593,554,703,206,719,612,708,649,510,550,630,623,262,276,238,262,252,283,0,12,286,12,284
Ck17,,,,,,,,1090,1168,1127,1137,1117,1204,1175,1226,1123,1058,923,995,1157,1175,1183,1149,1130,1206,1116,1181,601,578,613,641,672,579,125,186,0,103,199,625,657,655,728,670,619,530,599,616,423,649,618,632,661,549,594,652,642,594,676,649,659,621,654,623,677,601,667,668,610,748,683,702,723,708,607,533,728,202,723,621,710,636,535,584,603,623,318,348,263,313,292,345,0,21,353,15,376
Ck2,,,,,,,,,1100,1144,1268,1014,1376,1266,1419,1177,1152,1124,1116,1363,1379,1169,1273,1334,1277,1259,1432,672,635,712,756,715,703,92,164,0,103,172,673,676,714,694,794,730,551,705,710,529,741,670,728,695,569,532,654,672,598,732,697,705,687,653,713,755,687,774,684,680,770,714,688,662,787,748,505,707,173,726,674,723,683,456,642,578,606,316,374,306,319,342,385,0,15,370,15,356
Ck20,,,,,,,,,,1152,1113,1124,1104,1091,1200,1153,1084,934,968,1130,1119,1155,1110,1109,1177,1161,1156,587,554,611,633,652,626,108,185,0,119,197,637,628,613,656,661,619,519,602,604,424,645,642,647,633,619,566,667,616,611,653,664,649,615,647,584,657,591,638,663,626,699,673,685,644,664,653,535,645,197,650,612,697,676,505,590,613,631,335,332,301,315,332,340,0,18,345,15,345
Ck21,,,,,,,,,,,1247,1246,1371,1269,1274,1232,1261,1041,1068,1274,1318,1265,1182,1231,1360,1236,1254,631,630,655,644,688,650,110,184,0,92,202,706,674,753,700,784,715,561,699,709,501,773,677,705,751,618,567,723,743,697,713,651,751,672,651,650,718,623,730,733,680,765,665,727,755,785,683,576,785,205,765,711,681,701,495,570,636,703,324,340,295,284,338,390,0,20,381,18,371
